"","text"
"123","larrainvial activos hecho esencial fondo  inversion lvpatio renta inmobiliaria autorizado  resolucion n°   junio  santiago  agosto  sefiores comision   mercado financiero av libertador bernardo  ’ higgins presente ref comunica hecho esencial  fondo  inversien lvpatio renta inmobiliaria   consideracion  cumplimiento   establecido   articulo   ley  administracien  fondos  terceros  carteras individuales debidamente facultado   representacien  larrain vial activos sa administradora general  fondos sociedad administradora  fondo  inversien lvpatio renta inmobiliaria  “ fondo ” vengo  comunicar  usted   siguientes acuerdos adoptados   asamblea extraordinaria  aportantes  fondo celebrada  dia  agosto   aprobe modificar  reglamento interno  fondo  acuerdo  siguiente detalle    politica  inversion  aclare   objeto principal  fondo  invertir  bienes raices nacionales  habitacionales  renta ademas  eliminarse  articulo b   objeto  descartar  posibilidad    fondo invierta directamente  recursos  mutuos hipotecarios endosables b  aprobo agregar  nuevo articulo   seccion  normas  conflictos  interes estableciendose  prohibicien  fondo  invertir  acciones  administradoras  fondos  pensiones  compahias  seguros  administradoras  fondos mutuos  bolsas  valores  sociedades  corredores  bolsa  agentes  valores  sociedades  asesorias financieras  sociedades administradoras  cartera  recursos previsionales  titulos emitidos  garantizados   administradora  fondos  pensiones   cuotas  fondos  inversion publicos  fondos mutuos  utilicen estrategias  inversion  correspondan  hedge fund  cuyos subyacentes  commodity  hedge fund c   politica  liquidez  endeudamiento  agrego   parte final  articulo  nuevo limite  endeudamiento  fondo consistente    endeudamiento  fondo  excedera   valor   activos incluyendo  pasivos  operaciones  derivados   cuenten   adecuada cobertura have   normas  gobierno corporativo  elimino  articulo  efectos  reflejar   caso  sustitucion   administradora  causas  imputables     caso  disolucien anticipada  fondo  causas  imputables   administradora  correspondera pago  indemnizacin alguna   administradora   realizaron ciertos ajustes  numeracien  referencias   texto  reglamento interno  virtud   cambios mencionados modificandose  articulos   saluda atentamente claudio yafiez fregonara gerente general larrain vial activos sa administradora general  fondos "
"124","biceinversiones santiago noviembre  sefior cristian alvarez castillo intendente  supervision  mercado  valores comisin   mercado financiero presente ref hecho esencial   consideracin  acuerdo   normativa vigente comunicamos   comisien  siguiente hecho esencial anuncio  dividendo  efectivo fecha lugar new york emisora vaneck vector emerge market aggregate bond etf emag hecho esencial  compajiia  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate fecha registro fecha pago ratio  pagar  accien usd importe bruto ratio  pagar  accien usd importe neto mercado  exterior new york puede accederse  informacion adicional   serie  referencia  traves  siguiente link  bice inversiones httpwww biceclinversionesproductosmercadointernacional   particular  saluda atentamente bice inversiones corredores  bolsa sa biceinversionescl teatinos telefono santiago chile — cp "
"125","falcom santiago  agosto  sefior joaquin cortez huerta presidente comisin   mercado financiero presente ref informa hecho esencial  indica  fondo  inversion falcom small cap chile  administra falcom administradora general  fondos sa   consideracion   presente  debidamente facultado  efecto  cumplimiento   dispuesto   articulo   ley n°  articulos  inciso segundo   ley n° vengo  informar  usted  caracter  hecho esencial  siguiente  fecha  agosto  falcom administradora general  fondos sa  procedido  depositar   registro publico  depesito  reglamentos internos  texto refundido  reglamento interno  fondo  inversien  tipo rescatable denominado “ fondo  inversien falcom small cap chile ”  administra    vez  comiencen  regir  modificaciones pasar  ser  fondo  inversien  tipo  rescatable conforme   modificaciones  da cuenta  documento  contiene  detalle   modificaciones efectuadas segi  refiere  seccien iii   norma  cardcter general n°   comisien     depositado conjuntamente   texto refundido  reglamento interno  fondo finalmente   conformidad   dispuesto   seccion iii   norma  caracter general n°  modificaciones incorporadas  reglamento interno  fondo  reflejadas   texto refundido comenzaran  regir  partir  dia  septiembre    particular saluda atentamente  sefior presidente roberto sallas silva gerente general falcom administradora general  fondos sa cc bolsa  comercio  santiago bolsa  valores bolsa electronica  chile bolsa  valores bolsa  corredores bolsa  valores "
"126","ie puertovalparaiso  primer puerto  chile anos gaf hecho esencial empresa portuaria valparaisonro inscripcion valparaiso  agosto sefior joaquin cortez huerta presidente comisien   mercado financiero av libertador bernardo  higgins santiago ref  ley  general  articulo  particular b norma  caracter general    comisin   mercado financiero ex sv c art °  inciso segundo  articulo °   ley have sistema  empresas publicas sep    consideracion  virtud   establecido  documentos   referencia  medio  presente  debidamente facultado   directorio comunico  caracter  hecho esencial respecto   empresa   negocios  siguiente  consejo sep sistema  empresas publicas mediante documento   referencia have informa  designacin  sr erwin hahn huber  director   empresa portuaria valparaiso  partir   agosto     °  octubre   reemplazo    mismas condiciones    desempefiaba  srta encarnacien canalejo s     acepto  renuncia  ot rticular  saluda atentamente gonzalde davagnino vergara gerente general empresa portuaria valparaiso erencia administracion  finanzas puerto valparaiso av errazuriz valparaiso chile www puertovalparaisocl "
"127","g clinica € »  condes santiago  agosto  sefior joaquin cortes huerta presidente comisin   mercado financiero presente ref aclaracien   impacto financiero  jui cio laboral   consideracion  semanas recientes  aparecido  medio  prensa comentarios acerca   fallo laboral dictado   proceso seguido   ° juzgado  letras  trabajo  santiago    clinica  condes   dr  nuel alvarez zenteno  dichos medio   sefialado   resultado  fallo respecto    recurrie  nulidad acarrearia  perjuicio patrimo nial  clinica  condes sa  significacien   mencionado  cifra  mm producto   limitacien  contratar servicios    do  respecto  preciso sefialar   unico contrato  mantiene clini ca  condes s       correspondiente   licitacien publi ca  junio  afo  permite   puedan tratar  clinica  condes beneficiarios  fonasa  ingresan mediante  mecanismo deno minado grd grupos relacionados  diagnesticos   unidad  ges tion  camas   subsecretaria  redes asistenciales  encuentra cupos   red publica  referir   beneficiarios generalmente aquejados  alguna condicien  pone  riesgo  vida  mencionado contrato   licita bianualmente   materiali dad econdmica  clinica  condes s   atin representa  perdi da anualizada superior   mm   desfase histderico   cancela cidn   cuentas  parte   you  tradujo   hecho esencial informado  enero  afio  obligd   ajuste  mm   parecido importante entonces   marco  deber  informar adecuadamente  mercado hacer  aclaracien  ud  saluda atte jaime mafialich mui gerente general clinica  condes sa ‘ ondes colin pefialolen infoctinicalascondescl wwwclinicalascondescl "
"128","ruta   araucania i — intervial santiago  agosto  gl n° sefior joaquin cortez huerta presidente comisin   mercado financiero presente hecho esencial ruta   araucania sociedad concesionaria sa inscripcioen   reei n°   consideracien  medio   presente debidamente facultado  efecto   acuerdo   dispuesto   articulos    ley n°  mercado  valores   norma  caracter general n°   comisin   mercado financiero  adelante  “ cmf ” vengo  informar   comision  siguiente  calidad  hecho esencial  ruta   araucania sociedad concesionaria sa  “ sociedad ”  sociedad  titular  contrato  concesien   obra publica fiscal denominada “ concesidn internacional ruta tramo collipulli — temuco ”  “ concesien ”  fecha  agosto   sociedad celebre  banco  chile banco    chile  ita corpbanca  conjuntamente  “ acreedores ”  contrato denominado “ contrato  apertura  financiamiento  modificacien ’  virtud    acreedores pusieron  disposicion   sociedad  financiamiento   monto  uf dos millones  unidades  fomento  concepto  capital     tasa variable   objeto  financiar  obras   indican   convenio ad referendum n° celebrado   sociedad   ministerio  obras publicas relativo  obras  seguridad normativa   adicionales   obras originales   concesien    aprobadas mediante decreto supremo mop n ’ ° publicado   diario oficial  fecha  junio  tal   informo  hecho esencial  fecha  junio    particular saluda atentamente  ud rancisco javier vargas tofkin secretario dendirectori ruta   araucania sociedadconcesionaria sa fjev ruta   araucania sociedad concesionaria sa cerro  plomo piso  condes santiago tel “ oo "
"129","ane nnn lll lll rosario norte n° oficina  condes santiago globalvia ee oes h autopista  itata wwwscadicl anon f  inscripcion  registro especial  entidades informantes n°  santiago  agosto  gg anc n° sefior joaquin cortes huerta presidente comision   mercado financiero presente ref hecho esencial sociedad concesionaria autopista  itata sa   consideracien seguin  dispuesto   legislacien aplicable    norma  caracter general n°   modificaciones   calidad  gerente general  debidamente facultado     presente informo  siguiente “ hecho esencial ” relativo  sociedad concesionaria autopista  itata sa  “ sociedad ” titular   concesin   obra publica fiscal “ concesien acceso norte  concepcien ”  junta extraordinaria  accionistas   sociedad celebrada  dia  agosto  convocada   accionistas   sociedad omitiendo  formalidades  citacien  conformidad   establecido   articulo   ley  socie dades andnimas  acorde  distribucien  dinero   dividendo definitivo eventual   cargo   utilidades acumuladas   sociedad disponible  pago  partir  dia  agosto  tendran derecho  percibir  dividendo  accionistas   sociedad  figuren inscritos   registro  accionistas  quinto dia habil anterior   fecha establecida   pago  adjunta   presente formulario n° contemplado   circular n°   comisien   mercado financiero   parti if saluda atentamente ‘ moises v eyaaguirre erente g er i ee globalvia q autopista  itata formulario n° reparto  dividendos informacien original si sino fecha envio have mm aa di identificacion   sociedad   movimiento rut fecha  envio form original have mm aa nombre   sociedad sociedad concesionaria autopista  itata sa n° reg  valores serie afecta unica reg esp  infor cedigo bolsa indiv  mov acuerdo  monto  dividendo fecha  acuerdo toma  acuerdo junta gral ordin  acci junta extraord  acc sesidn  directorio monto  dividendo tipo  moneda peso acciones  accionistas  derecho numero  acciones fecha limite dd mm aa caracter  dividendo tipo  dividendo provisorio def minimo obligat  finitivo adicional  eventual cierre  ejercicio pe clobalvia  autopista  itata forma  pago  dinero optativo  dinero acciones   propia emision optativo  dinero  acciones   sociedad  modalidad pago  dividendo  dinero   dinero  optativo  dinero acciones pago  dinero ace tipo  moneda peso fecha  pago dd mm aa reparto  dividendo optativo  acciones fecha  inicio opcien dd mm aa fecha termino opciden dd mm aa fecha entrega titulo dd mm aa serie  optar sdlo si  opcien   acciones   propia emisien acc postmov sdlo si  opcien   acciones   propia emision rut soc emisora solo si  opcidn   acciones   cuales  sociedad  titular cedigo  bolsa factor acciones acciones  recibir   accion cderecho precio   accien tipo  moneda  observaciones declaracien “  informacien contenida    formulario   expresin fiel   verdad    asumo  responsabilidad legal correspondiente ” p  moisesvargas ave aguirre sociedad concesionaria aulopista  itata sa "
"130","hecho esenctial scotiabank azul  banco bilbao vizcaya argentaria chile santiago  agosto  gg sefior joaquin cortez huerta presidente comisin   mercado financiero presente ref comunica hecho esencial   consideracin  conformidad   dispuesto   articulo °   ley general  banco  articulos °  °   ley n°  mercado  valores   dispuesto   capitulo n°   recopilacion actualizada  normas   superintendencia  banco  instituciones financieras “ sbif ” comunico  usted   mercado  general  caracter  informacien esencial  siguiente  fecha  agosto   sbif autorizo  modificaciones   estatutos  banco bilbao vizcaya argentaria chile aprobadas   junta extraordinaria  accionistas celebrada   julio  dichas modificaciones  surtieron efectos  partir   fecha   referida autorizacien consistieron   cambio  nombre  banco  “ scotiabank azul ”  aumento  numero  miembros  directorio  banco  directores titulares  directores suplentes  directores titulares  directores suplentes   eliminacien  voto dirimente  presidente  directorio  caso  empate   adopcien  acuerdos  fecha  agosto   sbif autorizo  aprobe  fusien  incorporacien  scotiabank azul  banco bilbao vizcaya argentaria chile  “ banco ”  scotiabank chile  “ fusidn ”  fusion surtirae efectos  vez   cumplan ciertas condiciones suspensivas copulativas   deja constancia  you   obtenido todas  autorizaciones regulatorias necesarias   marco  contrato  idioma ingle denominado framework agreement suscrito  fecha  julio   inversiones caburga limitada inversiones  pacifico sa inversiones santa virginia sa inversiones corinto spa inversiones valparaiso spa inversiones sh seis limitada   anteriores  conjunto   “ grupo say ”  nova scotia inversiones limitada “ nsil ”   misma fecha  grupo say  adquirido  nsil  cantidad  acciones  banco   monto aproximado  usd millones   nuevas acciones adquiridas   grupo say  participacien   propiedad  banco alcanza aproximadamente    luego   fusion  acuerdo   relacien  canje aprobada   fusion   accionistas  ambos banco resultara   participacion final   banco fusionado igual   banco bilbao vizcaya argentaria chile  sesien celebrada hoy  instale  directorio  banco compuesto  directores titulares  directores suplentes   habian  elegidos   junta extraordinaria  accionistas  banco  fecha  julio  segtn  informd  hecho esencial   julio   ratificados   cargo  actual presidente  vicepresidente  directorio   misma sesien  directorio  hoy  indicada  resolvie fijar   agosto    fecha  partir     procederae  pago   dividendo   cantidad total    pagara  cargo  utilidades retenidas repartiendose asi  dividendo  peso  accidn seguin  aprobado   junta extraordinaria  accionistas  fecha  agosto   derecho  percibir  mencionado dividendo  accionistas  figuren inscritos   registro  accionistas  banco   medianoche  quinto dia habil anterior   agosto   conformidad   acordado   referida junta  dividendo  pagara  lunes  viernes  contar  dia indicado     horas mediante cheque nominativos  ser retirados personalmente   accionista   apoderado debidamente acreditado   sucursal parque titanium ubicada  avenida costanera sur oficina torre  comuna   condes  bien mediante transferencia electrenica  fondos  accionistas  mandatarios  momento  retirar  cheque  pago  dividendos deberan identificarse   respectivas cedulas  identidad  firmar  recibos comprobantes  registros   requeridos   efectos  mandatarios  accionistas persona naturales  juridicas nacionales  extranjeras deberadn tener previamente informados  poderes   departamento  acciones  banco   particular saluda atentamente  usted ferfando  erente general banco bilbao vikaya argentaria chile "
"131","© cent § scotiabank hecho esencial scotiabank chile santiago  agosto  sejior comisin   mercado financiero presente ref comunica hecho esencial   consideracion  conformidad   dispuesto   articulo °   ley general  banco  articulos °  °   ley n°  mercado  valores   dispuesto   capitulo n°   recopilacien actualizada  normas   superintendencia  banco  instituciones financieras “ sbif ” comunico  usted   mercado  general  caracter  informacien esencial  siguiente  fecha  agosto   sbif autorize  aprobe  fusien  incorporacien  scotiabank azul  banco bilbao vizcaya argentaria chile  scotiabank chile  “ fusien ”  fusien surtira efectos  vez   cumplan ciertas condiciones suspensivas copulativas   deja constancia  you   obtenido todas  autorizaciones regulatorias necesarias  sesien  directorio celebrada hoy  resolvio fijar   agosto    fecha  partir     procedera  pago   dividendo   cantidad total    pagara  cargo  utilidades retenidas repartiendose asi  dividendo   accien segtin  aprobado   junta extraordinaria  accionistas  fecha  agosto   derecho  percibir  mencionado dividendo  accionistas  figuren inscritos   registro  accionistas  scotiabank chile   medianoche  quinto dia habil anterior   agosto   conformidad   acordado   referida junta  dividendo  pagara  lunes  viernes  contar  dia indicado     horas mediante cheque nominativos  ser retirados personalmente   accionista    apoderado debidamente acreditado   oficinas  departamento  acciones  scotiabank chile ubicadas  morande subterraneo comuna  ciudad  santiago  accionistas  mandatarios  momento  retirar  cheque  pago  dividendos  cent scotiabank deberan identificarse   respectivas cedulas  identidad  firmar  recibos comprobantes  registros   requeridos   efectos  mandatarios  accionistas persona naturales  juridicas nacionales  extranjeras deberan tener previamente informados  poderes   departamento  acciones  scotiabank chile   particular saluda atentamente  usted sn francisco sarden  taboada gerente general cc bolsa  comercio  santiago — bolsa  valores bolsa electrenica  chile — bolsa  valores bolsa  corredores  valparaiso bolsa  valores "
"132","independencia rentas inmobiliarias hecho esencial fondo  inversion independencia rentas inmobiliarias inscripcion registro  valores n° santiago  agosto  sefiores comisin   mercado financiero presente ref hecho esencial — comunica reparto  dividendos — provisorios fondo  inversien independencia rentas inmobiliarias   consideracion  virtud   establecido   articulo °    inciso segundo  articulo °   ley  mercado  valores  relacien   norma  caracter general n° emitida   momento   superintendencia  valores  seguros encontrandome debidamente facultado   presente informo  ustedes  hecho esencial  fondo  inversion independencia rentas inmobiliarias   sesien  directorio   administradora independencia administradora general  fondos sa celebrada  fecha  agosto   acorde distribuir  dividendo provisorio  fondo  inversion independencia rentas inmobiliarias  cargo   beneficios netos percibidos correspondientes  ejercicio   cantidad total   cada cuota suscrita  pagada   derecho  dividendo   fecha  pago  pago   dividendo  efectuara  partir  dia  septiembre   tendran derecho    aquellos aportantes inscritos   registro respectivo  quinto dia habil anterior   fecha  pago  decir   septiembre   depositara   cuenta bancaria   indicado  aportante    enviara   domicilio si asi   solicitado  bien podra retirar  vale vista  cualquiera   oficinas  sucursales  banco  credito  inversiones bci   largo  pais contados dias   fecha  pagara   oficinas   departamento  cuotas dcv registros ubicada  huerfanos piso comuna  santiago   particular saluda atentamente juan pablo grez prado gerente general independencia administradora general  fondos sa "
"133","hohneck chile sa nast  arr tie sage so fk et ac  i oie i aoe net et art ee aee iy sirt have  pet rotel toe ea hecho esencial hohneck chile sa inscripcion   registro  entidades informantes n° santiago  marzo  sefior carlos pavez tolosa superintendente  valores  seguros presente ref convocatoria  junta ordinaria  accionistas   consideracien  conformidad   establecido   articulos  inciso °   ley n°    norma  caracter general n°  debidamente facultado  ello cumplo  informar  siguiente hecho esencial  relevante respecto   sociedad  represento  directorio   sociedad  sesien extraordinaria celebrada  fecha  marzo  resolvie convocar  junta ordinaria  accionistas   dia viernes  abril      domicilio social  avenida vitacura oficina comuna   condes  conocer  resolver   memoria   financieros   balance general auditado   ejercicio concluido   diciembre    demas materias    competencia   junta ordinaria  acord omitir  publicaciones   citacien   junta   consideracien   accionistas  confirmado  asistencia     conocimiento   fecha hora  lugar  celebracien  deja constancia   directorio faculte  gerente general  efectuar todas  comunicaciones  notificaciones    rigor    superintendencia  valores  seguros saluda atentamente  usted jorge  gerente general "
"134","lambic chile sa ssr sonar sr tl  et   hecho esencial lambic chile sa inscripcion   registro  entidades informantes n° santiago  marzo  sejfior carlos pavez tolosa superintendente  valores  seguros presente ref convocatoria  junta ordinaria  accionistas   consideracin  conformidad   establecido   articulos  inciso °   ley n°    norma  caracter general n°  debidamente facultado  ello cumplo  informar  siguiente hecho esencial  relevante respecto   sociedad  represento  directorio   sociedad  sesien extraordinaria celebrada  fecha  marzo  resolvid convocar  junta ordinaria  accionistas   dia viernes  abril      domicilio social  avenida vitacura oficina comuna   condes  conocer  resolver   memoria   financieros   balance general auditado   ejercicio concluido   diciembre    demas materias    competencia   junta ordinaria  acorde omitir  publicaciones   citacien   junta   consideracien   accionistas  confirmado  asistencia     conocimiento   fecha hora  lugar  celebracien  deja constancia   directorio faculte  gerente general  efectuar todas  comunicaciones  notificaciones    rigor    superintendencia  valores  seguros saluda atentamente  usted jorge  gerente general "
"135","biceinversiones santiago noviembre  sefior cristian alvarez castillo intendente  supervision  mercado  valores comisin   mercado financiero presente ref hecho esencial   consideracin  acuerdo   normativa vigente comunicamos   comisien  siguiente hecho esencial anuncio  dividendo  efectivo fecha lugar new york emisora vaneck vector j p morgan em local currency bond etf emlc hecho esencial  compajiia  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate fecha registro fecha pago ratio  pagar  accien usd importe bruto ratio  pagar  accien usd importe neto mercado  exterior new york puede accederse  informacion adicional   serie  referencia  traves  siguiente link  bice inversiones httpwww biceclinversionesproductosmercadointernacional   particular  saluda atentamente bice inversiones corredores  bolsa sa biceinversionescl teatinos telefono santiago chile — cp "
"136"," bsbesa  santiago agosto  n inscripcin rvs sefiores comision   mercado financiero av libertador bernardo ohiggins n° presente hecho esencial ref informa renuncia  director   consideracion  conformidad   dispuesto   art    ley  norma  caracter general n   comision   mercado financiero informamos  uds   director sefior juan benabarre benaiges presentd  renuncia  cargo  motivos personales atentamente qo nx paulo bezanilla sa gerente general besalco sa pbsearspg ebro  condes santiago chile » telefono » wwwbesalcocl "
"137","hecho esencial casino  juegos  pacifico sa inscripcien registro  valores n° san antonio  agosto  sefior joaquin cortez huerta presidente   comisien   mercado financiero presente ref informa hecho esencial  indica   consideracion  acuerdo   dispuesto   articulo    inciso segundo  articulo   ley asi    instrucciones contenidas   norma  caracter general n°   comisien   mercado financiero encontrandome debidamente facultado   presente comunico  usted  siguiente  caracter  hecho esencial  fecha  agosto  enjoy sa  enjoy gestiedn limitada  “ compradores ”  celebrado  contrato  compraventa  acciones  “ contrato  compraventa ”  latin gaming chile sa latin gaming investment  norte sa  inmobiliaria polaris sa  “ vendedores ”     acciones emitidas   sociedades casino  juegos  pacifico sa  “ sociedad ”  casino gran  angeles sa cgla ” propiedad   vendedores  transferencia   acciones objeto  contrato  compraventa  sujeta  cumplimiento  diversas condiciones suspensivas   esencial   aprobacien  parte   superintendencia  casino  juego   transferencia  todas  acciones emitidas   sociedad  cgla   compradores  terminos puros  simple  conformidad   ley numero  casino  juegos  b  autorizacion  parte   fiscalia nacional economica   adquisicion  parte   compradores   totalidad   acciones emitidas   sociedad  cgla  cumplimiento   dispuesto   dfl n°  afio  ministerio  economia fomento  turismo  fija  texto refundido coordinado  sistematizado  decreto ley n°   defensa   libre competencia   particular  saluda atentamente “  p s s  cag ain © c ob ° §  pg er shnistian jimenez cafiete wg — db gerente general scagind  jtieges  pacifico sa geren "
"138","— hecho esencial aie consorcio compania  seguros generales consorcio nacional deseguros sa santiago  agosto  sefior joaquin cortez huerta presidente comisien   mercado financiero presente ref hecho esencial   consideracien  acuerdo   establecido   articulos    ley n°  mercado  valores  demas normativa vigente informamos  hecho esencial   directorio  compafifa  seguros generales consorcio nacional  seguros sa  sesin ordinaria celebrada  fecha  agosto   acuerdo   establecido   articulo inciso segundo   ley n° acorde actualizar  politica general  habitualidad   compafiia debido   anterior  adjunta   presente copia   versien actualizada   politica general  habitualidad acordada   directorio   compafifa    encontrara  disposicien   accionistas   oficinas sociales    sitio wwwconsorciocl   particular  despide atentamente  n chris adh vergara gerentegeneral compafiia  seguros generales consorcio nacional  seguros sa compaiiia  seguros generales consorcio nacional  seguros sa politica general  habitualidad   operaciones  pars relacionadas conforme  articulo   ley  sociedades anonimas actualizacion aprobada   directorio  compania  seguros generales consorcio nacional  seguros sa  sesion  fecha  agosto   presente actualizacien  politica general  habitualidad  “ politica ”  aprobe segiin  prescrito   articulo inciso segundo   ley  sociedades anenimas    objeto determinar  operaciones habituales  ja compafiia  seguros generales consorcio nacional  seguros sa  “ sociedad ”   ordinarias  consideracien   giro social podran efectuarse ejecutarse  celebrarse  pars relacionadas  “ operaciones habituales ”  necesidad  cumplir   requisitos formalidades  procedimientos   establecen   numerales   inciso primero  citado articulo   ley  sociedades andnimas   medida  dichas operaciones   objeto contribuir  interes social   ajusten  precio terminos  condiciones  aquellas  prevalezcan   mercado  tiempo   aprobacien  celebracien  politica   alcance todas  operaciones ordinarias  consideracien  giro   compafiia  seguros generales consorcio nacional  seguros sa   persona relacionadas   efectos   politica  deja constancia   objeto   sociedad  contratar seguros  reaseguros pertenecientes  primer grupo  acuerdo   establecido   articulo  dfl podra emprender tambien  actividades   afines complementarias  dicho giro  consideraren operaciones ordinarias habituales   sociedad  pars relacionadas todas aquellas operaciones actos contratos  negocios   realice ejecute participe  celebre  pars relacionadas independientes     monto plazo  vigencia  importar si  contratacion   periodos mensuales semestrales anuales    plazo superior   medida  dichas operaciones  enmarquen dentro   objeto social   necesarias   normal desarrollo   actividades   sociedad   ejercicio  cumplimiento   giro social debiendo tomarse  consideracien   calificacien  habitualidad  frecuencia  similitud   operaciones  operaciones actos  contratos   sociedad efectie   efectuado  forma ordinaria  frecuentemente dentro   giro  perjuicio   anterior  operaciones debern tener  objeto contribuir  interes social  ajustarse  precio terminos  condiciones  aquellas  prevalezcan   mercado  tiempo   realizacion ejecucien  celebracien  caso  llegar  existir dificultades   determinacien  cardcter habitual   operacien  particular  tal finalidad podra tomarse  consideracien  similitud  dicha operacien     sociedad  desarrollado ordinaria  recurrentemente incluso  anterioridad   fecha  aprobacion   politica   forma   aplicacien   politica deberen considerarse operaciones habituales  directamente relacionadas   giro      sociedad realice tendientes  desarrollar ne  forma normal adecuada  eficientemente  giro you   cuenta propia  ajena dentro  correcto desenvolvimiento   vida comercial habitual  atencien  giro  compafiia  seguros generales consorcio nacional  seguros sa   actividades complementarias  consideran operaciones habituales  pueden ejecutarse  cumplir  requisitos establecidos   articulo   ley  sociedades andenimas    indican  continuacin   dicha enumeracien  limitativa sino  caracter referencial   oferta   tipo  seguros  reaseguros  orden  asegurar  reasegurar riesgos   base  prima b  celebracien  contratos  promocien  referimiento  seguros  clientes  traves  canales  venta c  realizacien   tipo  actos  contratos relativos  manejo   cartera  inversiones propia  fiduciaria have  compra venta  arrendamiento  toda clase  bienes muebles ec inmuebles asi   habilitacion  instalacien   inmuebles   compra  venta  activos  ejecucien realizacien  celebracien   tipo  operaciones financieras actos  contratos autorizados  relacien   activos   sociedad tale  operaciones  bolsa  compra  venta  acciones  titulos  renta fija cuotas  fondos mutuos   inversion asi    tipo  valores monedas extranjeras derivados forward swap opciones pactos prestamos etc f  contratacien  servicios  administracien  carteras  inversion  servicios electrenicos  informacien   transacciones financieras g  contratacien  servicios  comercializacien promocien  distribucien  productos  uso  canales  distribucien  contacto  clientes h  contratacien   tipo  seguros   empleados   sociedad   empleados   empresas  componen  mismo grupo empresarial i  contratacien  servicios   asesorias  materias administrativas contables financieras tributarias legales  auditorium informaticas  estudios  market   publicidad  contratacien  servicios  procedimiento  administracien  datos   asesoria  gestion  contratacien  servicios  seleccien contratacien  capacitacien  personal   sociedad   general  contratacion  cualquier servicio  back office jj  celebracien  contratos  mandato  encargo you   banco intermediarios  valores  entidades financieras  custodia   cualquier  naturaleza  chile    extranjero k  realizacion  toda clase  operaciones financieras  banco  entidades financieras  cualquier naturaleza  operaciones propias  mercado  valores    corredores  bolsa agentes  valores  entidades calificadas  inversionistas institucionales nacionales  extranjeros be  operaciones  agentes operadores  mercados financieros operaciones  cambios internacionales custodia  valores  chile    extranjero contratacien  asesorias comerciales dentro   giro n  contratacien  servicios asociados   gestien  liquidacien  siniestros reparacion  bienes venta  restos  prestacien  asistencias  compraventa  mutuos hipotecarios endosables asi   contratacien  servicios  cobranza  recaudacien  prima   administracien  mutuos hipotecarios endosables p  contratacien  servicios computacionales   mantencien necesarios   fine sociales q lacontratacien  servicios  intermediacien  valores  oferta publica wr r lacontratacien  servicios  custodia  cobranza   similares respecto   tipo  valores s lacompra  bienes ¢ insumos necesarios   desarrollo   actividades   sociedad t  celebracien  contratos  arrendamiento  bienes muebles  inmuebles necesarios   desarrollo   actividades   sociedad   contratacien  asesorias  market  promocien  seguros  productos asociados   polizas  seguros  emita  sociedad  operaciones sefialadas   letras precedentes  consideraran habituales independientemente   monto plazo  vigencia  importar si  contratacien   perfodos mensuales semestrales anuales    plazo superior todas  operaciones   compafiia efecttie realice  participe  pars relacionadas deberan tener directa relacien   giro social    actividad aseguradora   actividades afines  complementarias autorizadas   ley   ja superintendencia  valores  seguros conforme   establecido   articulos ° °   dfl n°  afio   posteriores modificaciones vigentes   fecha   operacien debiendo ser necesarias   normal operacien   sociedad   consideracien  politica  venta oferta  promocidn  seguros   adecuado manejo   politica  inversiones  presente actualizacien   politica entra  vigencia   agosto   cualquier modificacien debera ser efectuada   directorio   sociedad   misma forma      adoptado  politica serum revisada   comite  auditorium    directorio anualmente adicionalmente   comite  auditorium   directorio revisaran  aprobaren trimestralmente   financieros   sociedad   especial  revelacien  “ transacciones  pars relacionadas ”   junta ordinaria  accionistas deber conocer  pronunciarse respecto  todas  operaciones  pars relacionadas realizadas   ejercicio inmediatamente anterior  politica quedara  disposicien   accionistas   sociedad   oficinas sociales   publicara   sitio web wwwconsorciocl "
